Age,Gender,Married,Tenure,Pay Rate,Pay Grade,Bonus,Compa-Ratio,Degree Level,Performance Level,Mentor,Mentee,Engagement Score,Communication-Before,Communication-After,Communication Training,Leadership-Before,Leadership-After,Leadership Development,Employee Referral,Headhunter,Job Fair,Social Media,Website,Interview Score,IQ,Management,HP,Target,Department_Executive Office,Department_IT/IS,Department_Production,Department_Sales,Mentoring Role_Mentee,Mentoring Role_Neither Mentor nor Mentee,Employee Source_Headhunter,Employee Source_Job Fair,Employee Source_Social Media,Employee Source_Website,Interviewer_Elisa Bramante,Interviewer_Janet King,Interviewer_Jennifer Zamora
70,1,2,12.2,79,6,15.8,,3,3,2,2,3.4374429223744287,,,,5,5,2,1,2,1,1,1,2.8,125,2,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
45.1,1,1,14.5,69,6,20.7,1.0017421602787455,5,5,2,2,4.624657534246575,4.6425769230769225,5,2,4,4,1,2,1,1,1,1,3.8,175,2,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
38.5,1,1,10.2,33,2,6.6000000000000005,1.004872107186358,3,3,1,2,2.828310502,2.3434230769230773,2.4605942307692312,1,,,,1,1,1,2,1,2.8,101,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
52.9,1,2,9.6,28,2,5.6000000000000005,0.8526187576126673,3,3,1,2,2.800913242,2.406692307692308,2.527026923076923,1,,,,1,1,1,2,1,2.8,149,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
38.1,2,1,9.6,30,2,,0.9135200974421436,3,0,1,1,3.4374429223744287,,,,,,,2,1,1,1,1,3.3,91,1,,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
40.6,1,1,9.5,34,2,,1.0353227771010962,3,0,1,2,3.4374429223744287,,,,,,,1,1,1,2,1,2.8,100,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
37.9,1,2,9.7,39,2,,1.1875761266747866,3,0,1,1,3.4374429223744287,,,,,,,1,1,1,2,1,2.8,125,1,,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
36.2,2,1,9.9,35,2,10.5,1.0657734470158342,4,5,2,2,4.414611872,3.3278076923076925,5,2,,,,2,1,1,1,1,4,140,1,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
40.1,2,1,9.8,31,2,6.2,0.9439707673568816,3,3,1,2,2.6100456621004566,2.345269230769231,2.4625326923076925,1,,,,1,1,1,2,1,3.3,137,1,1,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
40,1,2,9.9,32,2,9.6,0.9744214372716198,4,5,2,2,4.414611872,3.3468076923076926,5,2,,,,2,1,1,1,1,3.5,186,1,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
43,1,2,9.6,39,2,7.8,1.1875761266747866,3,3,1,2,3.400913242009132,2.356692307692308,2.474526923076924,1,,,,1,1,1,2,1,2.8,137,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
38.1,2,2,9.5,32,2,,0.9744214372716198,3,0,1,2,3.4374429223744287,,,,,,,1,1,2,1,1,3.3,98,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
36.8,2,1,9.7,35,2,,1.0657734470158342,4,0,1,1,3.4374429223744287,,,,,,,1,2,1,1,1,4,125,1,,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
54.6,2,2,9.7,30.2,2,,0.9196102314250912,3,0,1,2,3.4374429223744287,,,,,,,2,1,1,1,1,3.3,92,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
45.6,1,1,9.5,31.4,2,,0.956151035,3,0,1,2,3.4374429223744287,,,,,,,2,1,1,1,1,2.8,127,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
44.2,2,1,13.5,59,5,17.7,1.0925925925925926,5,5,2,2,4.578995433789953,4.323192307692308,5,2,4,5,2,2,1,1,1,1,5.1,189,2,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
51.5,2,1,11.7,52,4,10.4,1.04,4,3,2,2,3.496803652968037,3.0315000000000003,4.54725,2,3,2,1,1,2,1,1,1,4.6,106,2,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
60.7,2,1,12.7,34,4,6.800000000000001,0.68,3,3,1,2,2.742465753424657,3.093384615384616,3.248053846153846,1,,,,1,1,1,1,2,4.1,142,2,2,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
38,2,2,12.6,38,4,7.6,0.76,3,3,2,2,3.5378995433789955,2.977846153846154,4.4667692307692315,2,2,2,1,1,1,2,1,1,4.1,99,2,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
54.2,2,1,10.7,64,4,16,1.28,5,4,2,2,3.951141552511415,3.531653846153846,5,2,3,5,2,1,2,1,1,1,5.1,148,2,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
39.1,2,1,12.1,28.99,2,5.798,0.9663333333333332,3,3,1,2,3.515068493150685,2.3756538461538454,2.4944365384615383,1,,,,1,1,1,2,1,3.3,142,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
56.2,1,1,14.4,31,2,6.2,1.0333333333333334,3,3,1,2,3.6200913242009127,2.497038461538461,2.621890384615385,1,,,,1,1,1,2,1,2.8,96,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
36,1,1,13.7,26,2,6.5,0.8666666666666667,3,4,2,2,4.0881278538812795,2.8847692307692308,4.413696923076923,2,,,,2,1,1,1,1,2.8,155,1,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
51.5,1,2,13.3,27,2,5.4,0.9,3,3,1,2,3.5698630136986296,2.4566153846153846,2.5794461538461535,1,,,,1,1,1,2,1,2.8,134,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
36.7,2,1,9.7,35,2,,1.088985687616677,4,0,1,2,3.4374429223744287,,,,,,,1,1,1,2,1,4,97,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
34.8,2,2,9.5,32,2,,0.9956440572495332,3,0,1,2,3.4374429223744287,,,,,,,2,1,1,1,1,3.3,90,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
36.2,1,2,9.7,37,2,,1.1512134411947728,3,0,1,2,3.4374429223744287,,,,,,,2,1,1,1,1,2.8,94,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
43.4,1,1,9.7,39,2,7.8,1.2134411947728687,3,3,1,2,3.405479452054794,2.362269230769231,2.4803826923076926,1,,,,1,1,1,2,1,2.8,146,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
37.3,2,1,9.5,43,2,,1.3378967019290604,3,0,1,2,3.4374429223744287,,,,,,,1,2,1,1,1,3.3,93,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
45.5,1,2,9.6,27,2,5.4,0.8400746733042938,3,3,1,2,3.400913242009132,2.369192307692308,2.487651923076923,1,,,,1,1,1,2,1,2.8,148,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
43.4,1,2,10,39,2,7.8,1.2134411947728687,3,3,1,2,3.419178082191781,2.3653461538461538,2.4836134615384617,1,,,,1,1,1,2,1,2.8,116,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
36.4,2,1,9.7,28,2,5.6000000000000005,0.8711885500933416,3,3,1,2,2.6054794520547944,2.326769230769231,2.4431076923076924,1,,,,1,1,1,2,1,3.3,140,1,1,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
55.5,2,2,9.5,29,2,,0.9023024268823894,4,0,1,2,3.4374429223744287,,,,,,,2,1,1,1,1,4,112,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
49.4,2,2,9.5,39,3,7.8,0.6993006993006992,4,3,1,2,2.796347032,2.687153846153846,2.8215115384615386,1,,,,1,2,1,1,1,4,116,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
38.3,1,1,8.2,59,3,,1.057916442531827,5,0,1,2,3.4374429223744287,,,,,,,1,2,1,1,1,4.3,95,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
60.2,2,2,10.6,38,3,7.6,0.6813699121391428,4,3,1,2,2.846575342,2.758076923076923,2.8959807692307686,1,,,,1,2,1,1,1,4,118,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
51.3,1,1,9.7,37,3,,0.6634391249775865,4,0,1,1,3.4374429223744287,,,,,,,1,2,1,1,1,3.5,106,1,,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
72.7,1,2,9.9,34,3,6.800000000000001,0.7109995817649519,4,3,1,2,3.4146118721461187,2.8103076923076924,2.950823076923077,1,,,,1,1,1,2,1,3.5,128,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
38.4,2,2,9.9,46,3,9.2,0.9619406106231702,4,3,1,2,3.4146118721461187,2.6388076923076924,2.770748076923077,1,,,,1,2,1,1,1,4,137,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
41.6,2,2,8.2,33,3,,0.6900878293601003,4,0,1,2,3.4374429223744287,,,,,,,1,1,2,1,1,4,110,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
59,2,1,9.9,32,3,8,0.6691760769552488,4,4,2,2,3.914611872146119,3.241807692307692,4.959965769230768,2,,,,2,1,1,1,1,4,151,1,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
46.4,1,1,9.5,35,3,,0.7319113341698034,4,0,1,2,3.4374429223744287,,,,,,,2,1,1,1,1,3.5,98,1,,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
41.5,1,1,15.7,59,5,14.75,1.0052819901175667,3,4,2,2,4.184018264840184,3.845076923076923,5,2,3,5,2,1,2,1,1,1,2.8,147,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
56,2,1,13.2,44,4,8.8,0.9166666666666666,4,3,2,2,3.565296803652968,3.0770769230769237,4.615615384615385,2,3,3,1,1,1,1,2,1,4.6,131,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
54.5,2,1,11,40,4,8,0.8333333333333333,4,3,1,2,2.664840182648402,3.036230769230769,3.1880423076923083,1,,,,1,1,1,2,1,4.6,138,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
41.1,2,1,8.7,40,4,10,0.8333333333333333,2,4,2,2,3.859817351598173,3.433846153846154,5,2,4,4,2,1,2,1,1,1,3.6,114,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
50.8,1,1,10,41,4,8.200000000000001,0.8541666666666666,4,3,2,2,3.419178082191781,3.0023461538461538,4.503519231,2,3,3,1,1,1,1,2,1,3.3,141,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
43.2,2,1,9.3,44,4,8.8,0.9166666666666666,4,3,2,2,3.387214611872146,2.9535769230769238,4.430365384615385,2,3,3,1,1,1,1,2,1,4.6,101,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
52.2,2,2,13.7,38,4,7.6,0.7916666666666666,3,3,1,2,2.988127854,3.066269230769231,3.2195826923076925,1,,,,1,1,1,2,1,4.1,114,2,2,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
47.9,2,1,13.6,40,4,6,0.8333333333333333,3,2,1,1,2.183561644,2.542730769230769,2.5173034615384613,1,,,,1,1,1,1,2,4.1,98,2,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
42.9,1,2,11,54,4,13.5,1.125,4,4,2,2,3.9648401826484014,3.4782307692307697,5,2,3,5,2,1,2,1,1,1,3.3,157,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
43.1,2,1,12.1,43,4,8.6,0.8958333333333333,4,3,2,2,3.515068493150685,2.9961538461538466,4.494230769,2,3,4,2,1,1,1,2,1,4.6,116,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
47.4,1,1,13.9,39,4,7.8,0.8125,3,3,1,2,2.7972602739726025,3.0463846153846155,3.1987038461538466,1,,,,1,1,1,2,1,2.8,146,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
49,1,2,12,39,4,7.8,0.8125,4,3,2,2,3.5105022831050228,3.023615384615385,4.535423076923077,2,3,4,2,1,1,1,2,1,3.3,154,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
48.8,2,1,14.2,40,4,6,0.8333333333333333,3,2,2,2,3.1109589041095886,2.5564615384615386,2.530896923076923,1,1,1,1,1,1,2,1,1,4.1,93,2,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
46.5,1,2,15.7,45,4,9,0.9375,4,3,2,2,3.679452055,3.068538461538461,4.602807692307692,2,3,4,2,1,1,1,2,1,3.3,114,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
68.9,1,2,13,39,4,7.8,0.8125,3,3,1,1,2.756164383561644,3.1385000000000005,3.2954250000000007,1,,,,1,1,1,2,1,2.8,133,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
41.2,2,1,13.2,20,2,5,1.0400416016640666,4,4,2,2,4.069863014,2.9051153846153848,4.4448265384615375,2,,,,2,1,1,1,1,4.8,119,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
36,1,2,16.7,21,2,4.2,1.0920436817472698,3,3,1,2,3.725114155251141,2.4324615384615385,2.5540846153846157,1,,,,1,1,1,1,2,3.1,141,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
35,1,1,13.2,16,2,,0.8320332813312532,2,0,1,1,3.4374429223744287,,,,,,,2,1,1,1,1,2.4,111,1,,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
47.3,1,1,12.7,23,2,6.9,1.1960478419136764,3,5,2,2,4.542465753424658,3.426384615384616,5,2,,,,2,1,1,1,1,3.1,181,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
41.6,2,1,11,22,2,4.4,1.1440457618304731,3,3,1,2,3.4648401826484014,2.3717307692307688,2.490317307692308,1,,,,2,1,1,1,1,4.1,117,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
54.6,1,1,15.2,22,2,4.4,1.1440457618304731,2,3,1,2,3.661187214611872,2.502884615384616,2.6280288461538466,1,,,,1,1,1,1,2,2.4,134,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
50.7,1,2,13.7,17,2,,0.8840353614144566,2,0,1,1,3.4374429223744287,,,,,,,1,1,2,1,1,2.4,112,1,,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
50.6,2,2,12.5,22,2,,1.1440457618304731,3,0,1,1,3.4374429223744287,,,,,,,1,1,2,1,1,4.1,119,1,,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
41.2,2,1,12.6,16.76,2,3.3520000000000003,0.8715548621944877,2,3,1,2,3.5378995433789955,2.393846153846154,2.5135384615384617,1,,,,1,1,1,1,2,3.4,90,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
47.2,2,1,12,18,2,3.6,0.9360374414976598,2,3,1,1,2.710502283105023,2.415115384615385,2.5358711538461542,1,,,,1,1,1,1,2,3.4,109,1,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
53.9,1,1,13.5,22,2,4.4,1.1440457618304731,2,3,1,2,3.578995433789954,2.471692307692308,2.5952769230769235,1,,,,1,1,1,1,2,2.4,96,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
45.5,2,1,11.2,17,2,3.4000000000000004,0.8840353614144566,2,3,1,2,3.473972602739725,2.3938076923076923,2.513498076923077,1,,,,1,1,1,1,2,3.4,127,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
53.8,2,1,12.5,16,2,3.2,0.8320332813312532,2,3,1,2,3.5333333333333328,2.4553076923076924,2.5780730769230766,1,,,,1,1,1,1,2,3.4,110,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
65.7,1,1,11.1,22,2,4.4,1.1440457618304731,3,3,1,2,3.469406392694064,2.4937692307692307,2.6184576923076923,1,,,,1,1,1,1,2,3.1,96,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
35.1,1,2,10.2,16,2,4,0.8320332813312532,2,4,2,2,3.9283105022831046,2.8264230769230774,4.324427307692308,2,,,,1,2,1,1,1,2.4,147,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
34.1,1,1,12.5,20,2,4,1.0400416016640666,3,3,1,1,2.7333333333333334,2.3568076923076924,2.474648076923077,1,,,,1,1,1,1,2,3.1,104,1,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
54.9,1,1,10.9,20,2,4,1.0400416016640666,3,3,1,2,3.460273973,2.436692307692308,2.5585269230769234,1,,,,1,1,1,1,2,3.1,114,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
41.6,2,1,10.5,20,2,4,1.0400416016640666,3,3,1,2,3.4420091324200914,2.364038461538461,2.482240384615385,1,,,,1,1,1,1,2,4.1,139,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
73.7,1,1,10,16,2,3.2,0.8320332813312532,2,3,1,2,3.419178082191781,2.5168461538461537,2.6426884615384614,1,,,,1,1,1,1,2,2.4,125,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
45.6,1,1,10.4,19.5,2,3.9,1.0140405616224648,2,3,1,2,3.4374429223744287,2.3825000000000003,2.501625,1,,,,1,1,1,1,2,2.4,122,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
41.1,2,1,11.2,22,2,4.4,1.1440457618304731,3,3,1,2,3.473972602739725,2.3718076923076925,2.4903980769230767,1,,,,1,1,1,1,2,4.1,108,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
41.1,1,1,13.3,21,2,,1.0920436817472698,3,0,1,1,3.4374429223744287,,,,,,,2,1,1,1,1,3.1,99,1,,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
36.3,1,1,13,22,2,4.4,1.1440457618304731,3,3,1,2,3.556164383561644,2.3760000000000003,2.494800000000001,1,,,,1,1,1,1,2,3.1,116,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
